name,rating,review_count,price,latitude,longitude,stars,latBin,lonBin,michelin
Chez TJ,4,735,4,37.39468,-122.08044,1,37.2,-122.2,y
Protégé,4.5,348,4,37.427853,-122.14362,1,37.4,-122.2,y
Madera,3.5,886,3,37.42014,-122.21151,1,37.4,-122.4,y
The Village Pub,4,1088,4,37.42897,-122.25178,1,37.4,-122.4,y
Plumed Horse,4,1244,4,37.25648,-122.03537,1,37.2,-122.2,y
Wakuriya,4.5,535,4,37.52114,-122.3366,1,37.4,-122.4,y
Sushi Yoshizumi,4.5,318,4,37.565075,-122.3211,1,37.4,-122.4,y
Maum,4.5,63,4,37.72669,-122.414215,1,37.6,-122.60000000000001,y
Aster,4,384,4,37.755054,-122.423134,1,37.6,-122.60000000000001,y
Omakase,4.5,552,4,37.77077,-122.40298,1,37.6,-122.60000000000001,y
Commonwealth,4,1048,4,37.761395,-122.41946,1,37.6,-122.60000000000001,y
Luce,4,771,3,37.78194,-122.40498,1,37.6,-122.60000000000001,y
Birdsong,4.5,326,4,37.779495,-122.41048,1,37.6,-122.60000000000001,y
In Situ,3.5,497,3,37.785633,-122.40113,1,37.6,-122.60000000000001,y
Hashiri,4.5,120,4,37.783062,-122.40754,1,37.6,-122.60000000000001,y
Angler,3.5,409,4,37.793167,-122.39213,1,37.6,-122.4,y
Rich Table,4,1358,3,37.774914,-122.42271,1,37.6,-122.60000000000001,y
Kin Khao,4,2136,2,37.785267,-122.40951,1,37.6,-122.60000000000001,y
Kin Khao,4,2136,2,37.785267,-122.40951,1,37.6,-122.60000000000001,y
Sons & Daughters,4,721,4,37.79037,-122.40917,1,37.6,-122.60000000000001,y
Mister Jiu's,3.5,839,4,37.79371,-122.406654,1,37.6,-122.60000000000001,y
jū-ni,4.5,438,4,37.77672,-122.43886,1,37.6,-122.60000000000001,y
The Progress,4,930,4,37.78371,-122.43282,1,37.6,-122.60000000000001,y
State Bird Provisions,4,2904,3,37.783737,-122.43283,1,37.6,-122.60000000000001,y
Octavia,4,614,3,37.787857,-122.42709,1,37.6,-122.60000000000001,y
SPQR,3.5,2013,3,37.78732,-122.43375,1,37.6,-122.60000000000001,y
Kinjo,4,137,4,37.79699,-122.422005,1,37.6,-122.60000000000001,y
Sorrel,4,284,4,37.788334,-122.44614,1,37.6,-122.60000000000001,y
Gary Danko,4.5,5598,4,37.80599,-122.42066,1,37.800000000000004,-122.60000000000001,y
Bar Crenn,4,99,4,37.798435,-122.43581,1,37.6,-122.60000000000001,y
Spruce,4,2054,4,37.78772,-122.45264,1,37.6,-122.60000000000001,y
Madcap,4.5,311,4,37.974712,-122.56168,1,37.800000000000004,-122.60000000000001,y
Aubergine,4,260,4,36.55406,-121.924355,1,36.4,-122.0,y
La Toque,3.5,675,4,38.30351,-122.28349,1,38.2,-122.4,y
Bouchon,4,3178,3,38.40258,-122.3619,1,38.400000000000006,-122.4,y
Auberge du Soleil,4.5,389,4,38.49199,-122.40534,1,38.400000000000006,-122.60000000000001,y
Madrona Manor,4.5,282,4,38.60428,-122.88647,1,38.6,-123.0,y
Shin Sushi,4.5,120,4,34.15784,-118.49415,1,34.0,-118.60000000000001,y
Rustic Canyon,4,1374,3,34.024952,-118.49118,1,34.0,-118.60000000000001,y
Kato,4.5,383,4,34.041683,-118.460915,1,34.0,-118.60000000000001,y
Nozawa Bar,4.5,241,4,34.0683,-118.39849,1,34.0,-118.4,y
Maude,4,441,4,34.064346,-118.39904,1,34.0,-118.4,y
Mori Sushi,4,334,4,34.033398,-118.44229,1,34.0,-118.60000000000001,y
Osteria Mozza,4,2975,4,34.08342,-118.338974,1,34.0,-118.4,y
Le Comptoir,4,158,4,34.06354,-118.30057,1,34.0,-118.4,y
Q Sushi,4,249,4,34.046883,-118.255844,1,34.0,-118.4,y
Shibumi,3.5,366,4,34.044155,-118.256134,1,34.0,-118.4,y
Hayato,4.5,105,4,34.03311,-118.24265,1,34.0,-118.4,y
Bistro Na's,4,1128,2,34.104412,-118.07159,1,34.0,-118.2,y
Orsa & Winston,4,535,4,33.92145,-118.275406,1,33.800000000000004,-118.4,y
Addison,4.5,478,4,32.939903,-117.20013,1,32.800000000000004,-117.4,y
Baumé,3.5,342,4,37.4285,-122.14272,2,37.4,-122.2,y
Commis,4.5,1059,4,37.82476,-122.25505,2,37.800000000000004,-122.4,y
Californios,4.5,326,4,37.75555,-122.417145,2,37.6,-122.60000000000001,y
Lazy Bear,4.5,693,4,37.760204,-122.41969,2,37.6,-122.60000000000001,y
Saison,4,570,4,37.76327,-122.41543,2,37.6,-122.60000000000001,y
Campton Place,4,738,4,37.78923,-122.40665,2,37.6,-122.60000000000001,y
Coi,4,783,4,37.79812,-122.40331,2,37.6,-122.60000000000001,y
Acquerello,4.5,1168,4,37.79167,-122.42131,2,37.6,-122.60000000000001,y
Providence,4.5,2766,4,34.083523,-118.33019,2,34.0,-118.4,y
n/naka,4.5,844,4,34.02526,-118.41206,2,34.0,-118.60000000000001,y
Vespertine,4.5,303,4,34.024204,-118.38166,2,34.0,-118.4,y
Manresa,4,1259,4,37.22761,-121.98071,3,37.2,-122.0,y
Benu,4.5,1110,4,37.78521,-122.39876,3,37.6,-122.4,y
Quince,4,1521,4,37.79762,-122.40337,3,37.6,-122.60000000000001,y
Atelier Crenn,4.5,787,4,37.79835,-122.43586,3,37.6,-122.60000000000001,y
The French Laundry,4.5,2751,4,38.40443,-122.36474,3,38.400000000000006,-122.4,y
Parachute,4,652,3,41.94483,-87.70638,1,41.800000000000004,-87.80000000000001,y
Goosefoot,4.5,312,4,41.96856,-87.69596,1,41.800000000000004,-87.80000000000001,y
Elizabeth,4,205,4,41.969555,-87.688736,1,41.800000000000004,-87.80000000000001,y
EL Ideas,4.5,344,4,41.863,-87.68686,1,41.800000000000004,-87.80000000000001,y
Band of Bohemia,4,572,3,41.967308,-87.67477,1,41.800000000000004,-87.80000000000001,y
Schwa,4,559,4,41.90888,-87.66792,1,41.800000000000004,-87.80000000000001,y
Temporis,4.5,118,4,41.898907,-87.66725,1,41.800000000000004,-87.80000000000001,y
Entente,4,166,3,41.93721,-87.6652,1,41.800000000000004,-87.80000000000001,y
Elske,4,208,4,41.884426,-87.66071,1,41.800000000000004,-87.80000000000001,y
Dusek's (Board & Beer),4,966,2,41.857853,-87.65757,1,41.800000000000004,-87.80000000000001,y
Roister,4,802,4,41.886658,-87.65187,1,41.800000000000004,-87.80000000000001,y
Boka,4.5,1542,4,41.91363,-87.64806,1,41.800000000000004,-87.80000000000001,y
Blackbird,4,1556,3,41.88423,-87.64356,1,41.800000000000004,-87.80000000000001,y
Sepia,4,1175,4,41.88394,-87.64247,1,41.800000000000004,-87.80000000000001,y
North Pond,4,596,4,41.9296,-87.63762,1,41.800000000000004,-87.80000000000001,y
Everest,3.5,387,4,41.87597,-87.63212,1,41.800000000000004,-87.80000000000001,y
Topolobampo,3.5,1024,4,41.89047,-87.63085,1,41.800000000000004,-87.80000000000001,y
Spiaggia,4,589,4,41.90062,-87.62457,1,41.800000000000004,-87.80000000000001,y
Del Posto,4,1439,4,40.74327,-74.0077,1,40.6,-74.2,y
Le Grill de Joël Robuchon,4,36,4,40.742897,-74.0077,1,40.6,-74.2,y
L'Appart,5,121,4,40.711903,-74.01544,1,40.6,-74.2,y
Okuda,5,43,4,40.743793,-74.00633,1,40.6,-74.2,y
Wallsé,4,329,3,40.73538,-74.00814,1,40.6,-74.2,y
Jeju Noodle Bar,4.5,733,2,40.732952,-74.00744,1,40.6,-74.2,y
Sushi Nakazawa,4.5,1544,4,40.731716,-74.00451,1,40.6,-74.2,y
Kosaka,4.5,182,4,40.738316,-74.00137,1,40.6,-74.2,y
Bâtard,4,446,4,40.719616,-74.00589,1,40.6,-74.2,y
Hirohisa,4.5,175,4,40.72452,-74.003006,1,40.6,-74.2,y
Blue Hill,4.5,1025,4,40.7321,-73.9996,1,40.6,-74.0,y
ZZ's Clam Bar,4,100,4,40.727646,-74.00046,1,40.6,-74.2,y
Babbo,4,2482,4,40.73233,-73.99916,1,40.6,-74.0,y
Carbone,4,1347,4,40.727966,-74.00017,1,40.6,-74.2,y
Le Coucou,4,589 ,4,40.719162,-74.00001,1,40.6,-74.2,y
Aldea,4,604,3,40.73885,-73.99366,1,40.6,-74.0,y
Cote,4,1269,4,40.73778,-73.99375,1,40.6,-74.0,y
Bouley at Home,4,135,4,40.74114,-73.99242,1,40.6,-74.0,y
Gotham Bar and Grill,4,1618,4,40.73417,-73.99379,1,40.6,-74.0,y
Nix,4,548,2,40.733166,-73.993515,1,40.6,-74.0,y
Junoon,3.5,1567,3,40.74325,-73.99077,1,40.6,-74.0,y
NoMad,4,1492,3,40.74497,-73.98883,1,40.6,-74.0,y
The Musket Room,4,532,4,40.723915,-73.99375,1,40.6,-74.0,y
Uncle Boons,4,1009,3,40.721203,-73.99441,1,40.6,-74.0,y
Noda,4.5,52,4,40.74497,-73.988075,1,40.6,-74.0,y
Gramercy Tavern,4.5,3060,4,40.73849,-73.98868,1,40.6,-74.0,y
The Clocktower,4,391,3,40.7414,-73.987595,1,40.6,-74.0,y
Ai Fiori,4,1349,4,40.75013,-73.98357,1,40.6,-74.0,y
Casa Mono,3.5,1312,3,40.73595,-73.98706,1,40.6,-74.0,y
Jewel Bako,3.5,538,4,40.72713,-73.98928,1,40.6,-74.0,y
The River Café,4,1189,4,40.703613,-73.994774,1,40.6,-74.0,y
Bar Uchū,4.5,86,4,40.72191,-73.99003,1,40.6,-74.0,y
Café China,4,1727,2,40.749973,-73.98228,1,40.6,-74.0,y
Kanoyama,4,691,4,40.73071,-73.98655,1,40.6,-74.0,y
Contra,4,340,4,40.719917,-73.98922,1,40.6,-74.0,y
Atomix,4.5,99,4,40.744408,-73.98292,1,40.6,-74.0,y
Kyo Ya,4.5,454,4,40.7266,-73.98526,1,40.6,-74.0,y
Kajitsu,4,276,4,40.72776,-73.98428,1,40.6,-74.0,y
Agern,4,207,4,40.75234,-73.9775,1,40.6,-74.0,y
Caviar Russe,4.5,150,4,40.760685,-73.97355,1,40.6,-74.0,y
Tuome,4.5,589,3,40.724194,-73.9828,1,40.6,-74.0,y
Tempura Matsui,4.5,1471,4,40.74839,-73.97474,1,40.6,-74.0,y
Sushi Yasuda,4,2177,4,40.75108,-73.97364,1,40.6,-74.0,y
Sushi Amane,4,83,4,40.75133,-73.971725,1,40.6,-74.0,y
Café Boulud,4,728,4,40.77439,-73.96414,1,40.6,-74.0,y
Claro,4,264,2,40.677395,-73.98615,1,40.6,-74.0,y
Satsuki,4,50,4,40.801243,-73.95187,1,40.800000000000004,-74.0,y
Sushi Noz,4.5,157,4,40.77384,-73.958275,1,40.6,-74.0,y
Sushi Inoue,4,130,4,40.810448,-73.943726,1,40.800000000000004,-74.0,y
Meadowsweet,4,442,3,40.710354,-73.96317,1,40.6,-74.0,y
Casa Enríque,4,1335,2,40.743492,-73.95425,1,40.6,-74.0,y
Peter Luger,4,6199,4,40.70986,-73.96263,1,40.6,-74.0,y
Oxomoco,4,439,3,40.730057,-73.95538,1,40.6,-74.0,y
The Finch,4,196,3,40.68704,-73.96297,1,40.6,-74.0,y
Faro,4,300,3,40.707584,-73.923035,1,40.6,-74.0,y
Blue Duck Tavern,4,2507,3,38.905373,-77.05128,1,38.800000000000004,-77.2,y
Tail Up Goat,4.5,731,3,38.9235,-77.043274,1,38.800000000000004,-77.2,y
Komi,4.5,746,4,38.910107,-77.03836,1,38.800000000000004,-77.2,y
Sushi Taro,4,1482,4,38.909992,-77.03834,1,38.800000000000004,-77.2,y
Plume,4,272,4,38.906,-77.03671,1,38.800000000000004,-77.2,y
Siren by RW,4,118,3,38.907776,-77.035446,1,38.800000000000004,-77.2,y
Bresca,4.5,360,4,38.91584,-77.0321,1,38.800000000000004,-77.2,y
The Dabney,4.5,757,4,38.906292,-77.024666,1,38.800000000000004,-77.2,y
Métier,4,71,4,38.903503,-77.0218,1,38.800000000000004,-77.2,y
Kinship,4.5,464,4,38.903282,-77.0218,1,38.800000000000004,-77.2,y
Fiola,4,772,4,38.89416,-77.02032,1,38.800000000000004,-77.2,y
Masseria,4,387,4,38.909504,-76.99908,1,38.800000000000004,-77.0,y
Rose's Luxury,4.5,2068,4,38.88064,-76.99515,1,38.800000000000004,-77.0,y
Smyth,4,232,4,41.885,-87.660736,2,41.800000000000004,-87.80000000000001,y
Oriole,4.5,326,4,41.886196,-87.64513,2,41.800000000000004,-87.80000000000001,y
Acadia,4,508,4,41.85904,-87.62562,2,41.800000000000004,-87.80000000000001,y
L'Atelier de Joël Robuchon,4.5,144,4,40.742905,-74.00769,2,40.6,-74.2,y
Jungsik,4.5,681,4,40.718685,-74.00911,2,40.6,-74.2,y
Atera,4.5,296,4,40.716797,-74.00565,2,40.6,-74.2,y
Jean-Georges,4,1930,4,40.76907,-73.98155,2,40.6,-74.0,y
Marea,4,2203,4,40.76749,-73.98114,2,40.6,-74.0,y
Gabriel Kreuther,4.5,539,4,40.75397,-73.982025,2,40.6,-74.0,y
Ichimura at Uchū,4.5,4,4,40.721832,-73.99012,2,40.6,-74.0,y
Sushi Ginza Onodera,4.5,211,4,40.752396,-73.981575,2,40.6,-74.0,y
Ko,4.5,341,4,40.72909,-73.98448,2,40.6,-74.0,y
The Modern,4.5,1051,4,40.76106,-73.97628,2,40.6,-74.0,y
Aquavit,4,803,4,40.76078,-73.97214,2,40.6,-74.0,y
Daniel,4.5,1715,4,40.7666,-73.96745,2,40.6,-74.0,y
Aska,4.5,118,4,40.71222,-73.96642,2,40.6,-74.0,y
Blanca,4,167,4,40.70492,-73.93354,2,40.6,-74.0,y
minibar,4.5,357,4,38.896294,-77.02386,2,38.800000000000004,-77.2,y
Pineapple and Pearls,4.5,367,4,38.880707,-76.99514,2,38.800000000000004,-77.0,y
Alinea,4.5,2376,4,41.91328,-87.64798,3,41.800000000000004,-87.80000000000001,y
Masa,4,364,4,40.76855,-73.98335,3,40.6,-74.0,y
Per Se,4.5,1721,4,40.76828,-73.98292,3,40.6,-74.0,y
Le Bernardin,4.5,2658,4,40.76177,-73.98223,3,40.6,-74.0,y
Eleven Madison Park,4.5,2263,4,40.7417,-73.98712,3,40.6,-74.0,y
Chef's Table at Brooklyn Fare,4.5,574,4,40.68872,-73.98581,3,40.6,-74.0,y
The Inn at Little Washington,4.5,548,4,38.713623,-78.16208,3,38.6,-78.2,y
